"Age";"Sex";"Employment_Status";"Education_Level"
53;"Female";"Unemployed";"Master's Degree"
61;"Female";"Unemployed";"PhD"
63;"Male";"Student";"Bachelor's Degree"
77;"Male";"Student";"Master's Degree"
78;"Female";"Employed";"PhD"
36;"Male";"Unemployed";"PhD"
42;"Female";"Unemployed";"Bachelor's Degree"
56;"Male";"Student";"Bachelor's Degree"
71;"Male";"Retired";"PhD"
43;"Female";"Student";"Master's Degree"
26;"Male";"Retired";"Bachelor's Degree"
24;"Female";"Student";"Master's Degree"
51;"Male";"Unemployed";"Master's Degree"
65;"Male";"Unemployed";"Master's Degree"
30;"Male";"Employed";"Master's Degree"
36;"Male";"Unemployed";"PhD"
73;"Female";"Retired";"Associate's Degree"
69;"Female";"Retired";"High School"
64;"Female";"Unemployed";"Associate's Degree"
56;"Male";"Employed";"High School"
21;"Male";"Retired";"Associate's Degree"
18;"Female";"Retired";"High School"
57;"Male";"Unemployed";"Associate's Degree"
47;"Female";"Employed";"Master's Degree"
47;"Male";"Employed";"Bachelor's Degree"
69;"Male";"Employed";"Associate's Degree"
42;"Female";"Student";"Associate's Degree"
33;"Male";"Student";"Associate's Degree"
41;"Female";"Employed";"PhD"
71;"Female";"Student";"High School"
28;"Female";"Unemployed";"Bachelor's Degree"
65;"Female";"Employed";"Associate's Degree"
37;"Female";"Unemployed";"High School"
57;"Female";"Student";"Associate's Degree"
20;"Male";"Unemployed";"PhD"
46;"Male";"Unemployed";"High School"
53;"Female";"Employed";"PhD"
69;"Female";"Retired";"PhD"
61;"Female";"Student";"Master's Degree"
39;"Female";"Retired";"Master's Degree"
66;"Female";"Employed";"Bachelor's Degree"
59;"Female";"Retired";"Associate's Degree"
76;"Male";"Employed";"High School"
37;"Male";"Retired";"Associate's Degree"
28;"Female";"Retired";"Bachelor's Degree"
74;"Male";"Retired";"Master's Degree"
72;"Male";"Employed";"Associate's Degree"
25;"Female";"Retired";"High School"
63;"Male";"Student";"Master's Degree"
38;"Female";"Employed";"Master's Degree"
62;"Male";"Employed";"Associate's Degree"
19;"Female";"Unemployed";"Master's Degree"
60;"Male";"Employed";"Bachelor's Degree"
30;"Female";"Unemployed";"Associate's Degree"
63;"Male";"Retired";"Master's Degree"
23;"Female";"Retired";"Associate's Degree"
74;"Female";"Unemployed";"PhD"
25;"Male";"Employed";"PhD"
61;"Male";"Retired";"Master's Degree"
49;"Female";"Retired";"Bachelor's Degree"
75;"Female";"Employed";"Master's Degree"
53;"Male";"Unemployed";"Associate's Degree"
62;"Female";"Employed";"High School"
78;"Female";"Student";"Bachelor's Degree"
31;"Male";"Student";"Associate's Degree"
70;"Male";"Student";"PhD"
33;"Male";"Retired";"Master's Degree"
40;"Female";"Unemployed";"PhD"
78;"Female";"Employed";"High School"
50;"Male";"Employed";"PhD"
57;"Female";"Unemployed";"PhD"
57;"Female";"Retired";"Master's Degree"
27;"Male";"Unemployed";"Bachelor's Degree"
42;"Male";"Retired";"PhD"
25;"Female";"Student";"PhD"
35;"Male";"Student";"Master's Degree"
78;"Female";"Employed";"PhD"
70;"Male";"Unemployed";"Bachelor's Degree"
26;"Female";"Employed";"Master's Degree"
24;"Female";"Unemployed";"Bachelor's Degree"
24;"Female";"Unemployed";"Master's Degree"
75;"Male";"Unemployed";"High School"
78;"Female";"Retired";"Associate's Degree"
77;"Female";"Student";"High School"
27;"Female";"Unemployed";"Bachelor's Degree"
41;"Female";"Employed";"Associate's Degree"
80;"Female";"Employed";"Associate's Degree"
71;"Female";"Retired";"Master's Degree"
40;"Female";"Retired";"Bachelor's Degree"
43;"Female";"Retired";"Master's Degree"
60;"Female";"Employed";"Associate's Degree"
50;"Female";"Unemployed";"Master's Degree"
74;"Female";"Unemployed";"High School"
78;"Male";"Unemployed";"Master's Degree"
46;"Male";"Student";"High School"
68;"Male";"Employed";"Associate's Degree"
27;"Female";"Student";"High School"
70;"Male";"Retired";"Bachelor's Degree"
71;"Male";"Unemployed";"Bachelor's Degree"
30;"Male";"Employed";"High School"
60;"Male";"Student";"Bachelor's Degree"
28;"Male";"Retired";"Associate's Degree"
42;"Male";"Unemployed";"Master's Degree"
69;"Male";"Retired";"Associate's Degree"
43;"Male";"Student";"Bachelor's Degree"
24;"Male";"Student";"High School"
42;"Female";"Retired";"Bachelor's Degree"
40;"Female";"Student";"High School"
43;"Female";"Employed";"High School"
49;"Female";"Student";"Associate's Degree"
37;"Female";"Retired";"Bachelor's Degree"
78;"Female";"Unemployed";"Bachelor's Degree"
41;"Male";"Employed";"Associate's Degree"
74;"Male";"Student";"High School"
26;"Male";"Student";"PhD"
58;"Male";"Employed";"Associate's Degree"
54;"Female";"Retired";"PhD"
40;"Female";"Unemployed";"Master's Degree"
31;"Female";"Student";"High School"
63;"Male";"Retired";"Master's Degree"
23;"Female";"Employed";"High School"
44;"Female";"Unemployed";"Associate's Degree"
18;"Male";"Unemployed";"PhD"
43;"Male";"Unemployed";"Associate's Degree"
59;"Female";"Unemployed";"PhD"
66;"Female";"Retired";"High School"
75;"Female";"Unemployed";"PhD"
34;"Male";"Unemployed";"High School"
46;"Male";"Student";"Bachelor's Degree"
43;"Female";"Student";"Bachelor's Degree"
44;"Male";"Student";"Associate's Degree"
38;"Male";"Unemployed";"High School"
24;"Male";"Student";"High School"
77;"Female";"Employed";"Bachelor's Degree"
70;"Male";"Unemployed";"Master's Degree"
43;"Male";"Employed";"Associate's Degree"
58;"Female";"Student";"Master's Degree"
37;"Female";"Student";"Associate's Degree"
23;"Female";"Retired";"Master's Degree"
67;"Male";"Employed";"Bachelor's Degree"
47;"Female";"Student";"PhD"
48;"Male";"Employed";"Master's Degree"
46;"Male";"Unemployed";"Associate's Degree"
34;"Female";"Unemployed";"Bachelor's Degree"
54;"Female";"Unemployed";"Master's Degree"
74;"Female";"Unemployed";"Bachelor's Degree"
37;"Female";"Unemployed";"Bachelor's Degree"
52;"Male";"Student";"Associate's Degree"
42;"Female";"Retired";"Bachelor's Degree"
63;"Female";"Student";"Master's Degree"
50;"Male";"Student";"PhD"
19;"Male";"Retired";"Bachelor's Degree"
21;"Female";"Retired";"PhD"
27;"Male";"Unemployed";"Master's Degree"
50;"Male";"Employed";"PhD"
22;"Male";"Employed";"Master's Degree"
70;"Female";"Employed";"Associate's Degree"
42;"Male";"Student";"Master's Degree"
25;"Female";"Unemployed";"Master's Degree"
72;"Female";"Retired";"Bachelor's Degree"
42;"Male";"Unemployed";"Associate's Degree"
38;"Female";"Unemployed";"High School"
62;"Male";"Unemployed";"High School"
35;"Male";"Unemployed";"High School"
59;"Female";"Unemployed";"PhD"
48;"Female";"Employed";"Bachelor's Degree"
23;"Female";"Unemployed";"Bachelor's Degree"
24;"Female";"Retired";"High School"
78;"Male";"Student";"High School"
58;"Female";"Employed";"PhD"
65;"Male";"Student";"Master's Degree"
34;"Female";"Employed";"Associate's Degree"
70;"Female";"Student";"Bachelor's Degree"
62;"Female";"Retired";"High School"
45;"Female";"Employed";"Master's Degree"
80;"Male";"Student";"High School"
70;"Female";"Retired";"PhD"
57;"Male";"Employed";"Bachelor's Degree"
70;"Female";"Student";"Master's Degree"
80;"Male";"Retired";"High School"
24;"Male";"Student";"Bachelor's Degree"
37;"Male";"Student";"High School"
35;"Male";"Retired";"Master's Degree"
46;"Female";"Retired";"Master's Degree"
34;"Male";"Retired";"Bachelor's Degree"
50;"Female";"Student";"Master's Degree"
19;"Female";"Unemployed";"Master's Degree"
66;"Female";"Retired";"Associate's Degree"
19;"Female";"Retired";"PhD"
30;"Female";"Employed";"PhD"
41;"Male";"Student";"High School"
66;"Female";"Unemployed";"Bachelor's Degree"
80;"Male";"Retired";"Master's Degree"
20;"Male";"Retired";"Associate's Degree"
35;"Female";"Employed";"Associate's Degree"
19;"Female";"Unemployed";"Bachelor's Degree"
54;"Female";"Unemployed";"Associate's Degree"
80;"Female";"Retired";"High School"
29;"Female";"Employed";"Associate's Degree"
74;"Male";"Employed";"Bachelor's Degree"
30;"Male";"Unemployed";"PhD"
59;"Female";"Unemployed";"Bachelor's Degree"
78;"Male";"Employed";"Bachelor's Degree"
23;"Male";"Student";"PhD"
59;"Female";"Employed";"PhD"
59;"Male";"Student";"PhD"
55;"Female";"Student";"PhD"
77;"Female";"Student";"Bachelor's Degree"
65;"Female";"Student";"PhD"
33;"Male";"Retired";"PhD"
52;"Male";"Employed";"Associate's Degree"
53;"Female";"Retired";"PhD"
44;"Female";"Student";"Associate's Degree"
44;"Male";"Unemployed";"Bachelor's Degree"
52;"Male";"Employed";"High School"
78;"Male";"Employed";"High School"
40;"Female";"Employed";"High School"
20;"Female";"Employed";"Master's Degree"
48;"Female";"Retired";"Bachelor's Degree"
65;"Male";"Unemployed";"High School"
19;"Female";"Unemployed";"Associate's Degree"
64;"Male";"Student";"PhD"
40;"Male";"Employed";"High School"
20;"Male";"Employed";"Bachelor's Degree"
26;"Male";"Unemployed";"Master's Degree"
78;"Male";"Student";"Master's Degree"
56;"Male";"Retired";"Associate's Degree"
47;"Female";"Employed";"Associate's Degree"
48;"Female";"Employed";"PhD"
47;"Female";"Employed";"Associate's Degree"
26;"Female";"Unemployed";"PhD"
53;"Male";"Student";"PhD"
51;"Female";"Retired";"Master's Degree"
39;"Male";"Unemployed";"Bachelor's Degree"
75;"Female";"Unemployed";"Master's Degree"
61;"Male";"Retired";"Master's Degree"
58;"Male";"Student";"High School"
45;"Female";"Unemployed";"High School"
46;"Female";"Employed";"Associate's Degree"
78;"Female";"Employed";"Master's Degree"
60;"Male";"Employed";"High School"
56;"Female";"Unemployed";"PhD"
62;"Male";"Student";"PhD"
54;"Male";"Unemployed";"Master's Degree"
60;"Female";"Employed";"PhD"
50;"Female";"Employed";"Associate's Degree"
36;"Male";"Employed";"Bachelor's Degree"
29;"Male";"Student";"High School"
51;"Male";"Student";"PhD"
38;"Male";"Retired";"PhD"
34;"Female";"Employed";"Master's Degree"
80;"Female";"Unemployed";"High School"
29;"Male";"Student";"Master's Degree"
47;"Female";"Retired";"Bachelor's Degree"
52;"Male";"Employed";"Master's Degree"
47;"Male";"Unemployed";"High School"
42;"Male";"Employed";"Master's Degree"
67;"Male";"Retired";"High School"
64;"Female";"Employed";"Master's Degree"
71;"Female";"Retired";"Master's Degree"
20;"Male";"Retired";"High School"
68;"Male";"Unemployed";"Master's Degree"
74;"Male";"Unemployed";"PhD"
35;"Female";"Student";"Master's Degree"
49;"Female";"Unemployed";"Associate's Degree"
34;"Female";"Unemployed";"High School"
55;"Female";"Employed";"Associate's Degree"
59;"Male";"Employed";"PhD"
57;"Male";"Employed";"Bachelor's Degree"
59;"Female";"Retired";"Bachelor's Degree"
49;"Male";"Retired";"PhD"
43;"Male";"Retired";"High School"
30;"Male";"Retired";"Bachelor's Degree"
37;"Female";"Employed";"Associate's Degree"
55;"Female";"Employed";"PhD"
37;"Female";"Unemployed";"Master's Degree"
46;"Male";"Student";"Master's Degree"
37;"Male";"Retired";"High School"
47;"Male";"Unemployed";"Bachelor's Degree"
58;"Male";"Retired";"PhD"
65;"Male";"Employed";"High School"
25;"Female";"Student";"Associate's Degree"
56;"Female";"Retired";"PhD"
27;"Female";"Retired";"Associate's Degree"
34;"Male";"Student";"Associate's Degree"
80;"Female";"Student";"PhD"
35;"Female";"Employed";"Associate's Degree"
57;"Female";"Unemployed";"Master's Degree"
68;"Male";"Employed";"PhD"
59;"Male";"Employed";"Associate's Degree"
72;"Male";"Student";"High School"
28;"Female";"Employed";"Master's Degree"
66;"Female";"Employed";"Master's Degree"
61;"Female";"Employed";"Associate's Degree"
19;"Female";"Unemployed";"High School"
36;"Male";"Student";"Master's Degree"
30;"Male";"Retired";"Master's Degree"
30;"Female";"Unemployed";"Master's Degree"
48;"Female";"Unemployed";"Bachelor's Degree"
47;"Female";"Employed";"High School"
68;"Male";"Retired";"High School"
39;"Female";"Student";"Master's Degree"
47;"Male";"Retired";"High School"
27;"Male";"Student";"Master's Degree"
33;"Male";"Unemployed";"Master's Degree"
22;"Female";"Student";"PhD"
53;"Male";"Retired";"High School"
67;"Female";"Student";"PhD"
50;"Female";"Employed";"Bachelor's Degree"
33;"Female";"Unemployed";"Master's Degree"
45;"Male";"Student";"High School"
66;"Male";"Student";"Associate's Degree"
29;"Female";"Retired";"High School"
70;"Female";"Employed";"High School"
45;"Female";"Student";"High School"
19;"Male";"Student";"PhD"
67;"Female";"Student";"High School"
29;"Female";"Retired";"Associate's Degree"
64;"Female";"Unemployed";"Associate's Degree"
68;"Female";"Student";"Bachelor's Degree"
70;"Male";"Employed";"PhD"
23;"Female";"Employed";"PhD"
33;"Male";"Student";"High School"
75;"Male";"Employed";"High School"
32;"Female";"Retired";"Bachelor's Degree"
36;"Female";"Retired";"Master's Degree"
76;"Female";"Student";"High School"
20;"Male";"Unemployed";"Bachelor's Degree"
63;"Male";"Employed";"High School"
50;"Female";"Employed";"PhD"
73;"Female";"Employed";"Associate's Degree"
50;"Male";"Unemployed";"Bachelor's Degree"
65;"Male";"Retired";"High School"
28;"Male";"Unemployed";"Associate's Degree"
53;"Male";"Student";"Bachelor's Degree"
73;"Male";"Retired";"High School"
61;"Female";"Unemployed";"PhD"
62;"Male";"Employed";"Associate's Degree"
27;"Female";"Unemployed";"Associate's Degree"
59;"Male";"Student";"PhD"
41;"Male";"Unemployed";"PhD"
45;"Female";"Employed";"Associate's Degree"
56;"Female";"Retired";"Associate's Degree"
35;"Male";"Student";"Bachelor's Degree"
34;"Male";"Retired";"PhD"
37;"Female";"Employed";"PhD"
76;"Female";"Unemployed";"Master's Degree"
26;"Male";"Unemployed";"PhD"
70;"Female";"Unemployed";"High School"
28;"Male";"Retired";"Bachelor's Degree"
61;"Female";"Unemployed";"Associate's Degree"
25;"Female";"Unemployed";"Associate's Degree"
67;"Female";"Retired";"High School"
22;"Male";"Unemployed";"Associate's Degree"
46;"Male";"Student";"Bachelor's Degree"
67;"Male";"Unemployed";"Associate's Degree"
23;"Male";"Unemployed";"Bachelor's Degree"
27;"Female";"Retired";"High School"
43;"Female";"Retired";"PhD"
26;"Female";"Retired";"Master's Degree"
28;"Female";"Student";"Bachelor's Degree"
72;"Female";"Employed";"High School"
23;"Female";"Employed";"PhD"
49;"Female";"Employed";"High School"
29;"Male";"Retired";"High School"
36;"Female";"Retired";"High School"
44;"Male";"Student";"PhD"
73;"Male";"Employed";"High School"
49;"Female";"Student";"PhD"
44;"Male";"Unemployed";"Associate's Degree"
47;"Female";"Unemployed";"Bachelor's Degree"
72;"Female";"Employed";"High School"
21;"Female";"Student";"PhD"
41;"Male";"Unemployed";"Bachelor's Degree"
45;"Male";"Employed";"Bachelor's Degree"
20;"Male";"Employed";"High School"
63;"Female";"Student";"Bachelor's Degree"
57;"Female";"Student";"High School"
23;"Female";"Retired";"Master's Degree"
53;"Male";"Unemployed";"Master's Degree"
72;"Male";"Unemployed";"High School"
59;"Female";"Student";"Associate's Degree"
65;"Female";"Employed";"Bachelor's Degree"
76;"Male";"Unemployed";"Bachelor's Degree"
73;"Female";"Unemployed";"Associate's Degree"
47;"Male";"Student";"Master's Degree"
65;"Male";"Employed";"High School"
69;"Male";"Student";"Associate's Degree"
27;"Female";"Employed";"High School"
42;"Male";"Student";"High School"
55;"Male";"Employed";"High School"
68;"Female";"Unemployed";"Master's Degree"
53;"Female";"Unemployed";"Associate's Degree"
58;"Male";"Retired";"PhD"
42;"Female";"Employed";"Associate's Degree"
21;"Female";"Student";"High School"
32;"Male";"Retired";"Master's Degree"
69;"Male";"Unemployed";"High School"
39;"Female";"Retired";"Bachelor's Degree"
70;"Female";"Retired";"PhD"
66;"Female";"Student";"Master's Degree"
41;"Female";"Student";"High School"
56;"Male";"Employed";"High School"
64;"Female";"Retired";"PhD"
77;"Female";"Student";"Associate's Degree"
80;"Female";"Employed";"Associate's Degree"
54;"Female";"Retired";"Master's Degree"
63;"Female";"Retired";"Bachelor's Degree"
71;"Male";"Retired";"High School"
64;"Male";"Retired";"Bachelor's Degree"
32;"Female";"Employed";"Bachelor's Degree"
33;"Male";"Employed";"Bachelor's Degree"
36;"Female";"Student";"Associate's Degree"
25;"Female";"Student";"Associate's Degree"
48;"Male";"Unemployed";"Bachelor's Degree"
75;"Male";"Unemployed";"Associate's Degree"
54;"Female";"Unemployed";"High School"
56;"Male";"Student";"Master's Degree"
69;"Male";"Student";"PhD"
65;"Female";"Unemployed";"Bachelor's Degree"
77;"Female";"Unemployed";"Master's Degree"
79;"Male";"Unemployed";"High School"
33;"Male";"Unemployed";"Master's Degree"
26;"Female";"Employed";"Associate's Degree"
28;"Male";"Student";"Bachelor's Degree"
60;"Female";"Retired";"Master's Degree"
68;"Female";"Unemployed";"Associate's Degree"
47;"Female";"Employed";"Bachelor's Degree"
78;"Male";"Employed";"High School"
27;"Female";"Student";"Bachelor's Degree"
72;"Male";"Employed";"Associate's Degree"
78;"Male";"Unemployed";"Master's Degree"
51;"Female";"Student";"High School"
74;"Female";"Retired";"Associate's Degree"
79;"Female";"Student";"High School"
55;"Female";"Student";"Master's Degree"
37;"Female";"Student";"PhD"
80;"Female";"Student";"High School"
63;"Female";"Student";"Bachelor's Degree"
31;"Female";"Student";"PhD"
23;"Female";"Unemployed";"PhD"
35;"Male";"Retired";"Master's Degree"
19;"Male";"Employed";"Bachelor's Degree"
73;"Female";"Retired";"PhD"
25;"Female";"Unemployed";"Associate's Degree"
28;"Male";"Student";"Bachelor's Degree"
38;"Female";"Unemployed";"PhD"
74;"Female";"Employed";"Associate's Degree"
24;"Female";"Retired";"Associate's Degree"
68;"Male";"Student";"PhD"
40;"Female";"Retired";"Master's Degree"
25;"Male";"Retired";"Bachelor's Degree"
76;"Female";"Retired";"Master's Degree"
27;"Male";"Student";"Master's Degree"
54;"Female";"Retired";"High School"
34;"Female";"Employed";"Associate's Degree"
72;"Male";"Unemployed";"Master's Degree"
23;"Female";"Retired";"Bachelor's Degree"
57;"Male";"Retired";"Associate's Degree"
69;"Male";"Unemployed";"Associate's Degree"
23;"Female";"Employed";"Master's Degree"
64;"Female";"Retired";"High School"
45;"Female";"Unemployed";"Associate's Degree"
49;"Female";"Employed";"PhD"
66;"Male";"Student";"PhD"
52;"Male";"Retired";"Associate's Degree"
45;"Male";"Retired";"High School"
64;"Female";"Retired";"Bachelor's Degree"
37;"Female";"Employed";"PhD"
18;"Female";"Student";"Bachelor's Degree"
22;"Male";"Employed";"PhD"
28;"Female";"Unemployed";"Associate's Degree"
64;"Female";"Employed";"High School"
37;"Male";"Unemployed";"Bachelor's Degree"
19;"Female";"Retired";"Bachelor's Degree"
79;"Female";"Student";"Bachelor's Degree"
65;"Female";"Employed";"PhD"
80;"Male";"Employed";"High School"
79;"Male";"Retired";"PhD"
72;"Male";"Employed";"PhD"
68;"Male";"Unemployed";"Bachelor's Degree"
27;"Female";"Employed";"Master's Degree"
68;"Female";"Employed";"Bachelor's Degree"
76;"Male";"Student";"Bachelor's Degree"
66;"Female";"Student";"Bachelor's Degree"
24;"Female";"Student";"Master's Degree"
78;"Female";"Retired";"Master's Degree"
55;"Female";"Retired";"High School"
61;"Male";"Student";"Bachelor's Degree"
53;"Female";"Unemployed";"Master's Degree"
70;"Female";"Student";"Bachelor's Degree"
40;"Female";"Unemployed";"Associate's Degree"
68;"Female";"Unemployed";"Master's Degree"
51;"Female";"Unemployed";"PhD"
41;"Female";"Retired";"Bachelor's Degree"
21;"Male";"Employed";"Associate's Degree"
71;"Male";"Student";"Bachelor's Degree"
46;"Female";"Retired";"Master's Degree"
75;"Male";"Employed";"Bachelor's Degree"
40;"Female";"Student";"PhD"
76;"Female";"Unemployed";"Master's Degree"
28;"Female";"Unemployed";"Associate's Degree"
71;"Male";"Retired";"Associate's Degree"
50;"Male";"Employed";"High School"
71;"Female";"Student";"Associate's Degree"
73;"Female";"Retired";"Associate's Degree"
68;"Female";"Retired";"PhD"
67;"Male";"Employed";"Associate's Degree"
76;"Male";"Unemployed";"Master's Degree"
65;"Female";"Employed";"Master's Degree"
20;"Female";"Employed";"Bachelor's Degree"
50;"Male";"Retired";"Master's Degree"
47;"Male";"Employed";"Bachelor's Degree"
51;"Male";"Employed";"High School"
19;"Female";"Unemployed";"High School"
57;"Female";"Employed";"Bachelor's Degree"
75;"Male";"Student";"PhD"
37;"Male";"Unemployed";"Bachelor's Degree"
31;"Female";"Retired";"Master's Degree"
42;"Male";"Unemployed";"PhD"
62;"Male";"Retired";"High School"
24;"Male";"Student";"PhD"
57;"Male";"Unemployed";"Master's Degree"
78;"Female";"Employed";"High School"
52;"Female";"Unemployed";"Associate's Degree"
48;"Female";"Retired";"Associate's Degree"
39;"Female";"Student";"High School"
33;"Female";"Student";"Associate's Degree"
76;"Male";"Retired";"Master's Degree"
39;"Male";"Unemployed";"Associate's Degree"
46;"Female";"Student";"Master's Degree"
73;"Male";"Unemployed";"PhD"
50;"Male";"Student";"High School"
